Begin Time - ss.msec,End Time - ss.msec,Duration - ss.msec,NMM.eyebrows,Question,File
28.81,30.93,2.12,raised,07-NeutPos-05,07-V2-NeutPos_IRR_MO.eaf
24.88,25.85,0.97,lowered,01-NegPos-04,01-V2-NegPos_IRR_MO.eaf
25.853,26.65,0.797,inner-raise,01-NegPos-04,01-V2-NegPos_IRR_MO.eaf
31.7,32.93,1.23,lowered,01-NegNeut-05,01-V2-NegNeut_IRR_MO.eaf
32.93,34.12,1.19,inner-raise,01-NegNeut-05,01-V2-NegNeut_IRR_MO.eaf
21.83,23.95,2.12,lowered,05-NeutNeg-04,05-V2-NeutNeg_IRR_MO.eaf
29.02,29.985,0.965,raised,05-PosNeut-05,05-V2-PosNeut_IRR_MO.eaf
29.985,30.503,0.518,lowered,05-PosNeut-05,05-V2-PosNeut_IRR_MO.eaf
30.503,30.975,0.472,raised-low,05-PosNeut-05,05-V2-PosNeut_IRR_MO.eaf
30.98,31.89,0.91,raised,05-PosNeut-05,05-V2-PosNeut_IRR_MO.eaf
3.55,4.99,1.44,lowered,03-NegNeut-01,03-V1-NegNeut_IRR_MO.eaf
4.99,5.8,0.81,raised-low,03-NegNeut-01,03-V1-NegNeut_IRR_MO.eaf
14.43,16.69,2.26,raised,03-NegNeut-03,03-V1-NegNeut_IRR_MO.eaf
25.68,26.285,0.605,inner-raise,07-PosNeut-04,07-V2-PosNeut_IRR_MO.eaf
26.285,28.62,2.335,lowered,07-PosNeut-04,07-V2-PosNeut_IRR_MO.eaf
2.06,2.5,0.44,raised-low,01-NeutNeg-01,01-V2-NeutNeg_IRR_MO.eaf
2.5,2.84,0.34,lowered,01-NeutNeg-01,01-V2-NeutNeg_IRR_MO.eaf
2.84,3.13,0.29,inner-raise,01-NeutNeg-01,01-V2-NeutNeg_IRR_MO.eaf
3.13,4.17,1.04,neutral,01-NeutNeg-01,01-V2-NeutNeg_IRR_MO.eaf
4.17,4.84,0.67,inner-raise,01-NeutNeg-01,01-V2-NeutNeg_IRR_MO.eaf
4.84,5.23,0.39,neutral,01-NeutNeg-01,01-V2-NeutNeg_IRR_MO.eaf
3.06,5.46,2.4,raised,03-NeutNeg-01,03-V1-NeutNeg_IRR_MO.eaf
8.62,8.718,0.098,lowered,03-NeutNeg-02,03-V1-NeutNeg_IRR_MO.eaf
8.718,9.03,0.312,raised-low,03-NeutNeg-02,03-V1-NeutNeg_IRR_MO.eaf
9.03,10.8,1.77,lowered,03-NeutNeg-02,03-V1-NeutNeg_IRR_MO.eaf
24.93,27.17,2.24,lowered,05-NegNeut-05,05-V2-NegNeut_IRR_MO.eaf
13.25,16.26,3.01,inner-raise,07-declarative-03,07-V2-declarative_IRR_MO.eaf
16.26,17.1,0.84,neutral,07-declarative-03,07-V2-declarative_IRR_MO.eaf
31.24,33.89,2.65,lowered,05-PosNeg-05,05-V2-PosNeg_IRR_MO.eaf
4.02,6.14,2.12,raised-low,03-NeutPos-01,03-V1-NeutPos_IRR_MO.eaf
25.48,26.87,1.39,lowered,01-NeutPos-04,01-V2-NeutPos_IRR_MO.eaf
33.87,35.72,1.85,raised-low,01-NeutPos-05,01-V2-NeutPos_IRR_MO.eaf
15.48,16.725,1.245,raised,04-NeutPos-03,04-V1-NeutPos_IRR_MO.eaf
16.725,17.41,0.685,neutral,04-NeutPos-03,04-V1-NeutPos_IRR_MO.eaf
25.64,26.708,1.068,raised,04-NeutPos-05,04-V1-NeutPos_IRR_MO.eaf
26.708,27.26,0.552,raised-low,04-NeutPos-05,04-V1-NeutPos_IRR_MO.eaf
9.31,11.18,1.87,lowered,02-baseline-02,02-V2-baseline_IRR_MO.eaf
22.83,24.358,1.528,lowered,02-baseline-04,02-V2-baseline_IRR_MO.eaf
24.358,24.85,0.492,inner-raise,02-baseline-04,02-V2-baseline_IRR_MO.eaf
28.15,30.41,2.26,lowered,02-baseline-05,02-V2-baseline_IRR_MO.eaf
8.13,8.421,0.291,raised,05-baseline-02,05-V2-baseline_IRR_MO.eaf
8.421,8.681,0.26,raised-low,05-baseline-02,05-V2-baseline_IRR_MO.eaf
8.681,10.38,1.699,raised,05-baseline-02,05-V2-baseline_IRR_MO.eaf
26.16,26.484,0.324,neutral,05-baseline-05,05-V2-baseline_IRR_MO.eaf
26.484,26.824,0.34,raised,05-baseline-05,05-V2-baseline_IRR_MO.eaf
26.824,27.624,0.8,lowered,05-baseline-05,05-V2-baseline_IRR_MO.eaf
27.624,28.319,0.695,raised-low,05-baseline-05,05-V2-baseline_IRR_MO.eaf
28.319,28.67,0.351,lowered,05-baseline-05,05-V2-baseline_IRR_MO.eaf
25.49,25.698,0.208,raised-low,07-NeutNeut-04,07-V2-NeutNeut_IRR_MO.eaf
25.698,27.6,1.902,lowered,07-NeutNeut-04,07-V2-NeutNeut_IRR_MO.eaf
32.96,33.676,0.716,raised,07-NeutNeut-05,07-V2-NeutNeut_IRR_MO.eaf
33.677,34.78,1.103,inner-raise,07-NeutNeut-05,07-V2-NeutNeut_IRR_MO.eaf
